 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Guimarânia |  | 1856.851842 | 1874.04681 | 1891.241778 | 1908.436746 | 1925.6317139999999 | 1942.62198 | 1957.565226 | 1972.508472 | 1987.451718 | 2002.3949639999998 | 2017.1335080000001 | 2029.0062240000002 | 2040.87894 | 2052.751656 | 2064.624372 | 2076.906492 | 2085.503976 | 2094.10146 | 2102.698944 | 2111.296428 | 2119.4845080000005 | 2128.081992 | 2136.6794760000002 | 2145.27696 | 2153.874444 | 2162.4719280000004 | 2171.069412 | 2179.666896 | 2188.26438 | 2196.861864
 | Lagoa Formosa |  | 4322.642054 | 4341.1857390000005 | 4359.729423999999 | 4378.273108999999 | 4396.816793999999 | 4415.142318 | 4425.8322069999995 | 4436.522096 | 4447.211984999999 | 4457.901874 | 4469.028084999999 | 4473.173143999999 | 4477.318203 | 4481.463262 | 4485.608321 | 4490.189702 | 4487.57177 | 4484.953837999999 | 4482.335906 | 4479.717973999999 | 4477.100041999999 | 4474.482109999999 | 4471.864178000001 | 4469.246246 | 4466.628314 | 4464.010382 | 4461.39245 | 4458.774517999999 | 4456.156585999999 | 4453.538654
 | Patos de Minas |  | 46422.7828 | 46672.31266 | 46921.842520000006 | 47171.37238 | 47420.90224 | 47670.16292 | 47920.23114 | 48170.29936 | 48420.36758 | 48670.43580000001 | 48919.96566 | 49088.203160000005 | 49256.44066000001 | 49424.67816 | 49592.915660000006 | 49760.88398 | 49862.364839999995 | 49963.8457 | 50065.326559999994 | 50166.807420000005 | 50268.019100000005 | 50369.499959999994 | 50470.98081999999 | 50572.46167999999 | 50673.94254 | 50775.4234 | 50876.904259999996 | 50978.38512 | 51079.865979999995 | 51181.34684
 | Presidente Olegário |  | 4169.493031999999 | 4158.366821 | 4147.24061 | 4136.114399 | 4124.988187999999 | 4113.425655 | 4094.0093259999994 | 4074.5929969999993 | 4055.1766679999996 | 4035.760339 | 4016.1258489999996 | 3989.5102069999994 | 3962.894565 | 3936.278923 | 3909.663281 | 3882.611317 | 3853.814065 | 3825.0168129999997 | 3796.219561 | 3767.4223089999996 | 3739.0613789999998 | 3710.264127 | 3681.466875 | 3652.669623 | 3623.8723709999995 | 3595.075119 | 3566.277867 | 3537.480615 | 3508.6833629999996 | 3479.8861110000003
 | Rio Paranaíba |  | 3371.2419330000002 | 3400.4755069999997 | 3429.7090809999995 | 3458.942655 | 3488.1762289999997 | 3516.9734809999995 | 3540.0985469999996 | 3563.223612999999 | 3586.3486789999997 | 3609.4737450000002 | 3632.816972 | 3651.3606569999997 | 3669.904342 | 3688.4480270000004 | 3706.991712 | 3725.7535580000003 | 3737.7524129999997 | 3749.751268 | 3761.750123 | 3773.7489779999996 | 3785.965994 | 3797.9648489999995 | 3809.963704 | 3821.9625589999996 | 3833.961414 | 3845.9602689999992 | 3857.959124 | 3869.957979 | 3881.9568339999996 | 3893.955689
 | Serra do Salitre |  | 2749.0467609999996 | 2773.262632 | 2797.478503 | 2821.6943739999997 | 2845.910245 | 2870.562438 | 2891.0695720000003 | 2911.5767060000003 | 2932.0838399999993 | 2952.5909739999993 | 2972.8799470000004 | 2987.278573 | 3001.6771989999997 | 3016.075825 | 3030.474451 | 3045.3093989999998 | 3055.7811269999997 | 3066.2528549999997 | 3076.7245829999997 | 3087.1963109999997 | 3098.104361 | 3108.576089 | 3119.0478169999997 | 3129.519545 | 3139.9912729999996 | 3150.4630009999996 | 3160.9347289999996 | 3171.4064569999996 | 3181.8781849999996 | 3192.3499129999996
 | Total |  | 70821.69933 | 71150.65513099999 | 71479.61093200001 | 71808.566733 | 72137.52253400002 | 72466.212598 | 72752.04951900002 | 73037.88644 | 73323.72336100001 | 73609.560282 | 73894.872302 | 74060.079649 | 74225.286996 | 74390.494343 | 74555.70169000002 | 74721.693728 | 74788.09699099998 | 74854.50025399998 | 74920.903517 | 74987.30678000001 | 75053.91411900001 | 75120.31738199998 | 75186.72064499998 | 75253.123908 | 75319.527171 | 75385.930434 | 75452.333697 | 75518.73696 | 75585.14022299998 | 75651.543486
 | Total (t/dia) |  | 226.26741 | 227.31838699999997 | 228.36936400000005 | 229.420341 | 230.47131800000005 | 231.521446 | 232.43466300000006 | 233.34788 | 234.26109700000003 | 235.174314 | 236.085854 | 236.61367300000003 | 237.14149199999997 | 237.669311 | 238.19713000000004 | 238.727456 | 238.93960699999994 | 239.15175799999994 | 239.363909 | 239.57606000000004 | 239.78886300000002 | 240.00101399999994 | 240.21316499999995 | 240.42531599999998 | 240.637467 | 240.849618 | 241.06176899999997 | 241.27391999999998 | 241.48607099999992 | 241.698222
 | Alcance da Coleta - RSD
 | Arapuá |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Coromandel |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Cruzeiro da Fortaleza |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Guimarânia |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Lagoa Formosa |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Patos de Minas |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
 | Presidente Olegário |  | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
